法人番号,会社名,都道府県,市区町村,番地,郵便番号
1010001179427,株式会社インバウンドグループ,兵庫県,西宮市,甲子園高潮町３番４７−１００１号,6638166
1010401075168,株式会社Ｍ’ｓ　ｌｉｆｅ．　ｃｏｒｐｏｒａｔｉｏｎ,兵庫県,西宮市,苦楽園三番町２番４５号,6620081
1010401127019,新明王株式会社,兵庫県,西宮市,大井手町５番２１号,6620036
1010701008447,富士幸産業株式会社,兵庫県,西宮市,浜甲子園１丁目１６−１８,6638154
1010701022919,株式会社Ｍｅｄｉｃａｌ　ｉｎｆｏｒｍａｔｉｏｎ　ｎｅｔｗｏｒｋ,兵庫県,西宮市,神園町２番７０−１０３,6620027
1011301015981,株式会社ルームセブンジャパン,兵庫県,西宮市,上大市４丁目１０番３６−４０２号,6638003
1011601013925,株式会社明和,兵庫県,西宮市,西宮浜４丁目１４番２号マリナヴィラパセオ１階,6620934
1030001155260,株式会社七竈,兵庫県,西宮市,鳴尾浜２丁目１３番,6638142
1080401021272,日本プランテック株式会社,兵庫県,西宮市,南郷町８番４−１０２号,6620038
1100001026025,大美和株式会社,兵庫県,西宮市,上甲東園２丁目６番８号,6620813
1120001026997,株式会社大阪鍛鋼所,兵庫県,西宮市,甲子園三保町５番１０号,6638163
1120001036419,誠金属工業株式会社,兵庫県,西宮市,高座町１４番３３号,6620872
1120001041955,オー・エム・エスマネージメント株式会社,兵庫県,西宮市,上大市５丁目２４番６１号,6638003
1120001046079,浪速船渠株式会社,兵庫県,西宮市,松風町５番３,6620073
1120001054692,株式会社希学園,兵庫県,西宮市,高松町１１番９号,6638204
1120001073486,株式会社アサヒ,兵庫県,西宮市,甲東園１丁目１番６−４１３号,6620812
1120001076522,株式会社オサムシ,兵庫県,西宮市,千歳町２番１２−３１０号,6620046
1120001079112,株式会社高正商店,兵庫県,西宮市,殿山町３番２８号,6620065
1120001079145,興昌商事株式会社,兵庫県,西宮市,両度町３番１−５０９号,6620841
1120001085052,株式会社寺井商事,兵庫県,西宮市,上甲子園４丁目１３番３０号,6638114
1120001088757,株式会社プペ,兵庫県,西宮市,甲子園町３番８号,6638152
1120001091892,淀幸振興株式会社,兵庫県,西宮市,川東町１０番２０−１２０２号,6620945
1120001094061,株式会社在宅健康管理センター,兵庫県,西宮市,甲子園三保町２番２７号,6638163
1120001104539,デューク株式会社,兵庫県,西宮市,甲子園口３丁目７番１４−１０３号,6638113
1120001109793,株式会社ランドマーク建築事務所,兵庫県,西宮市,東山台４丁目１４−１１,6691133
1120001111477,株式会社セイントハウジング,兵庫県,西宮市,甲子園口北町２番９号,6638112
1120001111790,株式会社ＭＩＥＬ,兵庫県,西宮市,甲子園一番町１５番１２−１０２号,6638171
1120001117838,株式会社Ｊ−ＳＴＡＴＩＯＮ,兵庫県,西宮市,寿町５番９−４０１号,6620047
1120001118712,株式会社豊,兵庫県,西宮市,苦楽園四番町２６番１２号,6620088
1120001137010,株式会社オルスリー,兵庫県,西宮市,熊野町７−２７−７２４,6638103
1120001137869,株式会社ふぉー優,兵庫県,西宮市,松生町５番８号ベルトピア夙川３０１,6620076
1120001142605,株式会社ダイドープロパティ,兵庫県,西宮市,門戸東町４番５３号,6620824
1120001161720,株式会社教版,兵庫県,西宮市,北名次町２番３２号,6620025
1120001168682,株式会社ヒットエンドラン,兵庫県,西宮市,甲子園洲鳥町４番６−３０１号,6638151
1120001175596,株式会社ルーチェ,兵庫県,西宮市,苦楽園一番町２−６２フォレストテラス４０３号,6620083
1120001181900,株式会社ダンデポート,兵庫県,西宮市,里中町３丁目１２番１２号,6638183
1120001188805,株式会社ＰＡＮＥＶＥ．Ｉ,兵庫県,西宮市,北六甲台２丁目９番１２号,6511413
1120001189316,株式会社５５５,兵庫県,西宮市,産所町１４番５号ニュートンビル西宮１階,6620978
1120001195553,株式会社武田オフィス,兵庫県,西宮市,二見町１２番２８号ヘーベルメゾン甲子園二見町３０２号室,6638111
1120001205915,株式会社イズム,兵庫県,西宮市,久保町１４番３０−５号,6620927
1120001206847,株式会社サンモート,兵庫県,西宮市,小松東町３丁目９−１１田辺ビル２階,6638123
